[legacy_mvp]
analyze_k_stats.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- analyze_k_stats.py
dataset_pano_only.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- dataset_pano_only.py
dataset_rflypano.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- dataset_rflypano.py
geometry_refine.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- geometry_refine.py
train360/legacy/__init__.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- train360/legacy/__init__.py
train360/legacy/dataset_pano_only.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- train360/legacy/dataset_pano_only.py
train360/legacy/geometry_refine.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- train360/legacy/geometry_refine.py
train360/legacy/train_mvp.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- train360/legacy/train_mvp.py
train_mvp.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- train_mvp.py

[root_wrappers_replaced_by_train360_core]
config.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- config.py
depth_branch.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- depth_branch.py
erp_sampling.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- erp_sampling.py
healpix_utils.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- healpix_utils.py
interaction.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- interaction.py
losses.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- losses.py
model.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- model.py
pose_head.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- pose_head.py
train360_pose_losses.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- train360_pose_losses.py
train360d_pose_losses.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- train360d_pose_losses.py
transformer_encoder.py | tracked=true | root wrapper replaced by train360/core package | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- transformer_encoder.py

[obsolete_training_scripts]
tools/analyze_s5d10_dense_edge_contributions.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/analyze_s5d10_dense_edge_contributions.py
tools/audit_arch2_pose_convention_softcorr_noop.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_arch2_pose_convention_softcorr_noop.py
tools/audit_arch2p_sweep_validity.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_arch2p_sweep_validity.py
tools/audit_data2_tdir_scale_observability.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_data2_tdir_scale_observability.py
tools/audit_data3_legacy_pano_image_quality.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_data3_legacy_pano_image_quality.py
tools/audit_dset1_360dvo_motion_distribution.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_dset1_360dvo_motion_distribution.py
tools/audit_dset2_360dvo_fuller_motion_distribution.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_dset2_360dvo_fuller_motion_distribution.py
tools/audit_dset2b_360dvo_sequence_completeness.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_dset2b_360dvo_sequence_completeness.py
tools/audit_dset2b_train360_readiness.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_dset2b_train360_readiness.py
tools/audit_dset2c_360dvo_local_tree.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_dset2c_360dvo_local_tree.py
tools/audit_experimental_candidate_validity.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_experimental_candidate_validity.py
tools/audit_gen1_external_pano_datasets.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_gen1_external_pano_datasets.py
tools/audit_gen2_360dvo_motion_distribution.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_gen2_360dvo_motion_distribution.py
tools/audit_gen3_s5e15_inference_availability.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_gen3_s5e15_inference_availability.py
tools/audit_git2_pre_final_freeze.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_git2_pre_final_freeze.py
tools/audit_historical_branch_validity.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_historical_branch_validity.py
tools/audit_pairwise_to_dense_tdir_gap.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_pairwise_to_dense_tdir_gap.py
