rank,run_id,phase,val_score,val_signed_tdir_mean,val_anti_parallel_rate,val_tmag_median_ratio,val_path_ratio,test_signed_tdir_mean,test_anti_parallel_rate,test_tmag_median_ratio,test_path_ratio,checkpoint,notes
1,TRAIN360H_S1_best_seed1,seed,69.52230387041878,61.2556664584142,0.0078125,1.3713849716073145,1.1871837746673701,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_S1_best_seed1/best_val.pt,seed
2,TRAIN360H_S2_best_seed2,seed,70.37843098070972,31.6435646929207,0.0,1.4077893660091327,1.2085790512197507,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_S2_best_seed2/best_val.pt,seed
3,TRAIN360H_C01_lr3e5_dir2p0_scale0p05_seed0,coarse,99.75210424245219,41.14512515944646,0.0,2.7297000347332783,2.3450681346287157,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_C01_lr3e5_dir2p0_scale0p05_seed0/best_val.pt,coarse
4,TRAIN360H_A4_obs_kstep_no_scale_seed0,ablation,109.62795545593225,45.357834520303136,0.0,2.0287990385136654,1.7461766782996997,55.77945159211351,0.20861319636507308,1.0073388935107728,0.7713805482615894,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_A4_obs_kstep_no_scale_seed0/best_val.pt,ablation
5,TRAIN360H_A0_reproduce_D_seed0,ablation,109.78978151589976,44.956484798332696,0.0,2.0848518949947197,1.7942905706546781,55.46502585619085,0.20861319636507308,1.011634775809969,0.775810812400399,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_A0_reproduce_D_seed0/best_val.pt,ablation
6,TRAIN360H_A1_obs_only_seed0,ablation,110.32036663006657,45.469595021448555,0.0,2.0886753945673613,1.797082306854836,55.96411464259915,0.20900829711576452,1.0143099536782634,0.7775654981873537,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_A1_obs_only_seed0/best_val.pt,ablation
7,TRAIN360H_C02_lr5e5_dir2p0_scale0p1_seed0,coarse,111.04731750561905,40.493804539406376,0.0,2.0190361916688024,1.7354504366599195,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_C02_lr5e5_dir2p0_scale0p1_seed0/best_val.pt,coarse
8,TRAIN360H_C06_balanced_scale_recovery_seed0,coarse,111.68190475573071,22.206740627660594,0.0,3.4514086003200917,2.9544378680002823,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_C06_balanced_scale_recovery_seed0/best_val.pt,coarse
9,TRAIN360H_A3_scale_only_seed0,ablation,112.04095744749083,45.187159926184115,0.0,2.306794527369367,1.9837194254554353,56.52648010781024,0.20979849861714736,1.0350286528968877,0.7942237998828358,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_A3_scale_only_seed0/best_val.pt,ablation
10,TRAIN360H_R03_tighter_clip_seed0,refined,113.55633835435802,47.77464323509447,0.0,2.187513260375643,1.8827688001820289,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_R03_tighter_clip_seed0/best_val.pt,refined
11,TRAIN360H_R02_more_scale_seed0,refined,113.74139280927122,47.86863688086877,0.0,2.1986955111435362,1.8921488100726933,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_R02_more_scale_seed0/best_val.pt,refined
12,TRAIN360H_R01_lower_lr_more_tdir_seed0,refined,117.4610542089787,50.31724695735619,0.0,2.3315745189828183,2.005655929038325,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_R01_lower_lr_more_tdir_seed0/best_val.pt,refined
13,TRAIN360H_C05_obs_k_no_scale_seed0,coarse,126.75805751777067,36.91744397793329,0.0,2.026053323151344,1.743584860001165,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_C05_obs_k_no_scale_seed0/best_val.pt,coarse
14,TRAIN360H_F01_TRAIN360H_S1_best_seed1,final_eval,131.02701414514124,104.39754351706829,0.6523773867465369,0.9151370322858172,0.5895168494209848,53.73375854133177,0.20209403397866457,0.8503917514492008,0.6493755813576354,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_F01_TRAIN360H_S1_best_seed1/best_val.pt,final_eval
15,TRAIN360H_C04_obs_scale_no_k_seed0,coarse,132.08659734197857,42.437938294082045,0.0,2.3001975331703726,1.9780270697775875,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_C04_obs_scale_no_k_seed0/best_val.pt,coarse
16,TRAIN360H_C03_lr1e4_dir1p5_scale0p2_seed0,coarse,154.88191589917588,31.901460909065072,0.0,2.378694070141727,2.0444154577363194,,,,,/home/dovetao/graduation_design_demo/checkpoints/TRAIN360H_sweep/TRAIN360H_C03_lr1e4_dir1p5_scale0p2_seed0/best_val.pt,coarse
