trajectory_name,index,x,y,z,source_file
GT,0,0.0,0.0,0.0,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,1,0.945891631,-0.33322947,-0.267537942,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,2,1.924486104,-0.669157624,-0.572176403,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,3,2.940587399,-0.996201329,-0.93329553,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,4,3.960591447,-1.315464351,-1.344886665,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,5,4.979146481,-1.624556719,-1.791713735,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,6,6.014926715,-1.936639896,-2.286167335,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,7,7.05099402,-2.237679352,-2.818296785,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,8,8.095714793,-2.522075567,-3.396848266,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,9,9.128412662,-2.802745055,-4.012550579,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,10,10.155570717,-3.063074847,-4.6652202,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,11,11.166995743,-3.292580034,-5.375203972,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,12,12.139904382,-3.504560865,-6.125917185,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,13,13.099138031,-3.710461511,-6.926022936,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,14,14.043605471,-3.908140168,-7.759244049,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,15,14.952232471,-4.097503394,-8.623533564,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,16,15.830493503,-4.268949138,-9.516850648,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,17,16.671410031,-4.430599705,-10.439090729,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,18,17.489037811,-4.586608787,-11.410700808,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,19,18.262994973,-4.741892514,-12.393153445,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,20,19.009668237,-4.903482907,-13.384575509,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,21,19.706442063,-5.070208373,-14.366222691,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,22,20.386810681,-5.241834993,-15.367598185,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,23,21.02534875,-5.414995627,-16.368700093,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,24,21.637478033,-5.589270668,-17.384588871,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,25,22.228302717,-5.771142934,-18.420702868,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,26,22.787368456,-5.957153967,-19.440346715,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,27,23.329295839,-6.156052948,-20.476196833,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,28,23.852231245,-6.35885563,-21.5185148,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,29,24.352720344,-6.560521918,-22.558432917,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,30,24.836531684,-6.767897003,-23.595804221,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,31,25.306890281,-6.986117793,-24.634187371,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,32,25.754798151,-7.21231182,-25.67358517,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,33,26.192346063,-7.435924053,-26.708033836,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,34,26.627633911,-7.659358966,-27.735204767,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,35,27.056533149,-7.88288939,-28.766078124,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,36,27.485246596,-8.109183183,-29.794303174,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,37,27.913658823,-8.335452146,-30.821304472,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,38,28.336413876,-8.557989775,-31.833232849,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,39,28.766553965,-8.779690915,-32.848015568,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,40,29.195111803,-9.009481364,-33.853739296,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,41,29.630463749,-9.245059825,-34.854593498,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,42,30.073223933,-9.481952028,-35.845441387,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,43,30.529488382,-9.721569199,-36.829477906,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,44,30.995963299,-9.964921069,-37.806535444,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,45,31.466212469,-10.211709112,-38.758190407,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,46,31.944515719,-10.46091406,-39.706376559,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,47,32.425441257,-10.718392119,-40.645993049,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,48,32.91993773,-10.987875874,-41.588390537,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,49,33.420308641,-11.249708733,-42.521625144,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,50,33.917634281,-11.509456427,-43.453903954,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,51,34.409570888,-11.76909872,-44.392564016,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,52,34.894030928,-12.035628051,-45.329648752,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
GT,53,35.371770386,-12.299921004,-46.275211625,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/gt_tum.txt
