trajectory_name,index,x,y,z,source_file
ODOM360A-direct,0,0.0,0.0,0.0,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,1,0.105022238,-0.183628028,-0.830739245,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,2,0.20734985,-0.375545157,-1.638886311,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,3,0.333912557,-0.555650078,-2.433900574,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,4,0.485077522,-0.733326032,-3.233176377,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,5,0.620499591,-0.920675332,-3.997067155,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,6,0.724077467,-1.098842175,-4.735994911,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,7,0.815849842,-1.277048467,-5.450434237,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,8,0.906870466,-1.434698559,-6.15832023,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,9,0.971669682,-1.596105312,-6.843655732,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,10,1.042526212,-1.763906482,-7.496970431,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,11,1.108926318,-1.904469549,-8.17537471,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,12,1.139825581,-2.044982804,-8.830684503,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,13,1.136736177,-2.16870577,-9.460037517,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,14,1.115685783,-2.290541844,-10.075492255,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,15,1.116242898,-2.405900602,-10.704109196,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,16,1.077311483,-2.527259119,-11.30350921,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,17,1.054063388,-2.643027052,-11.901615606,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,18,1.025925237,-2.770522815,-12.495723923,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,19,0.994337947,-2.895366413,-13.070015255,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,20,0.972473322,-3.018118318,-13.634448763,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,21,0.949484022,-3.130936682,-14.190706892,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,22,0.922810712,-3.240789113,-14.755393258,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,23,0.901340949,-3.338030939,-15.328378002,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,24,0.882965088,-3.423701805,-15.913011909,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,25,0.886725811,-3.497436259,-16.499318825,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
ODOM360A-direct,26,0.877575711,-3.579768629,-17.089972489,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/direct_composition/ridge_to_lake/pred_tum.txt
