trajectory_name,index,x,y,z,source_file
ODOM360A,0,0.0,0.0,0.0,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,1,0.082062224,-0.136079123,-0.629949634,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,2,0.142037042,-0.253190631,-1.116296114,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,3,0.217034812,-0.372429738,-1.6309349,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,4,0.309551552,-0.479994822,-2.130227694,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,5,0.40171533,-0.601724879,-2.624033077,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,6,0.471261131,-0.715247473,-3.099430081,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,7,0.526729379,-0.832863663,-3.557310416,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,8,0.587589479,-0.934508001,-4.008456778,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,9,0.62672873,-1.033164838,-4.452049287,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,10,0.667167459,-1.145592003,-4.868313092,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,11,0.714112883,-1.233635795,-5.296001909,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,12,0.740695837,-1.326023504,-5.720711641,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,13,0.745306131,-1.406300229,-6.129181733,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,14,0.725113543,-1.485927783,-6.52216055,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,15,0.731708651,-1.556513482,-6.920484008,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,16,0.706766866,-1.636343516,-7.309411139,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,17,0.69206643,-1.708736629,-7.690697744,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,18,0.676046627,-1.789009298,-8.068823937,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,19,0.651922538,-1.868010972,-8.434253374,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,20,0.63605391,-1.947331083,-8.793577331,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,21,0.621673518,-2.019564432,-9.14768306,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,22,0.602904368,-2.090540813,-9.501277434,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,23,0.58862072,-2.153567018,-9.858755681,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,24,0.571859568,-2.210518874,-10.223732769,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,25,0.578228898,-2.255314351,-10.595430613,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,26,0.573686397,-2.310153038,-10.964749031,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,27,0.580432783,-2.354051816,-11.346937792,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,28,0.607687688,-2.421457902,-11.725442695,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,29,0.629422409,-2.47470972,-12.109152782,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,30,0.638475218,-2.546001504,-12.493495663,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,31,0.642498804,-2.612807636,-12.866231407,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,32,0.674850638,-2.677155081,-13.241004299,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,33,0.690980941,-2.724227172,-13.612528855,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,34,0.692409327,-2.792863227,-13.988722415,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,35,0.783973306,-2.834427699,-14.361096556,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,36,0.8743727,-2.86938315,-14.723756844,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,37,0.901857439,-2.931825883,-15.108801283,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,38,0.928200829,-2.985181948,-15.503106041,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,39,0.950197852,-3.03178472,-15.887045913,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,40,0.936357063,-3.104245364,-16.280252668,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,41,0.91860813,-3.173073699,-16.680970858,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,42,0.886610496,-3.26269523,-17.061591238,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,43,0.878670907,-3.349860761,-17.444198655,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
ODOM360A,44,0.851849362,-3.42145562,-17.827319665,external_baselines/results/odom360a_lightweight_trajectory_fusion/test/local_window_pose_fusion/ridge_to_lake/pred_tum.txt
