trajectory_name,index,x,y,z,source_file
ODOM360B,0,0.0,0.0,0.0,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,1,0.064787304,-0.060678895,-0.647142385,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,2,0.215709109,-0.313151109,-1.127086173,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,3,0.126951871,-0.44052155,-1.657151125,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,4,0.301733782,-0.417842639,-2.177543894,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,5,0.506704989,-0.663466914,-2.612752171,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,6,0.471689196,-0.651243147,-3.131225066,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,7,0.462972937,-0.892227763,-3.571595053,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,8,0.682625498,-0.949704149,-4.010935239,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,9,0.586699348,-0.950640565,-4.483821834,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,10,0.637417104,-1.228090735,-4.855720366,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,11,0.75868641,-1.167274763,-5.312467156,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,12,0.736724736,-1.42321402,-5.703138888,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,13,0.780881912,-1.337832291,-6.140162361,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,14,0.659543873,-1.527406782,-6.513757528,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
ODOM360B,15,0.812533051,-1.519153067,-6.929092943,external_baselines/results/odom360b_local_pose_graph_kstep/test/pg_k3/ridge_to_lake/pred_tum.txt
